Sample.Date,Region,Copies.mL,7.day.avg,Low.Confidence.Interval,High.Confidence.Interval
2020-05-08,Northern,NA,58,0,0
2020-05-09,Southern,NA,47,0,0
2020-05-09,Northern,NA,58,0,0
2020-05-10,Southern,NA,22,0,0
2020-05-10,Northern,NA,46,0,0
2020-05-11,Southern,164,43,52,76
2020-05-11,Northern,NA,46,0,0
2020-05-12,Southern,NA,29,0,0
2020-05-12,Northern,NA,22,0,0
2020-05-13,Southern,NA,NA,0,0
2020-05-13,Northern,NA,NA,0,0
2020-05-14,Southern,NA,NA,0,0
2020-05-14,Northern,NA,NA,0,0
2020-05-15,Southern,NA,NA,0,0
2020-05-15,Northern,NA,NA,0,0
2020-05-16,Southern,NA,NA,0,0
2020-05-16,Northern,NA,NA,0,0
2020-05-17,Southern,NA,NA,0,0
2020-05-17,Northern,NA,NA,0,0
2020-05-18,Southern,NA,NA,0,0
2020-05-18,Northern,NA,NA,0,0
2020-05-19,Southern,NA,NA,0,0
2020-05-19,Northern,NA,NA,0,0
2020-05-20,Southern,NA,NA,0,0
2020-05-20,Northern,NA,NA,0,0
2020-05-21,Southern,82,NA,26,38
2020-05-21,Northern,42,NA,13,20
2020-05-22,Southern,426,NA,135,197
2020-05-22,Northern,244,NA,77,113
2020-05-23,Southern,77,NA,24,36
2020-05-23,Northern,69,NA,22,32
2020-05-24,Southern,79,121,25,36
2020-05-24,Northern,52,78,16,24
2020-05-25,Southern,66,107,21,31
2020-05-25,Northern,42,69,13,19
2020-05-26,Southern,97,105,31,45
2020-05-26,Northern,38,62,12,17
2020-05-27,Southern,197,115,62,91
2020-05-27,Northern,81,65,26,37
2020-05-28,Southern,50,107,16,23
2020-05-28,Northern,35,63,11,16
2020-05-29,Southern,28,73,9,13
2020-05-29,Northern,49,50,15,22
2020-05-30,Southern,66,71,21,31
2020-05-30,Northern,NA,47,0,0
2020-05-31,Southern,79,71,25,37
2020-05-31,Northern,37,45,12,17
2020-06-01,Southern,82,73,26,38
2020-06-01,Northern,60,48,19,28
2020-06-02,Southern,194,81,61,90
2020-06-02,Northern,95,55,30,44
2020-06-03,Southern,35,63,11,16
2020-06-03,Northern,40,49,13,18
2020-06-04,Southern,47,63,15,22
2020-06-04,Northern,32,49,10,15
2020-06-05,Southern,44,67,14,20
2020-06-05,Northern,45,48,14,21
2020-06-06,Southern,19,56,6,9
2020-06-06,Northern,46,48,15,21
2020-06-07,Southern,24,47,8,11
2020-06-07,Northern,27,45,8,12
2020-06-08,Southern,26,40,8,12
2020-06-08,Northern,19,39,6,9
2020-06-09,Southern,52,33,16,24
2020-06-09,Northern,167,42,53,77
2020-06-10,Southern,75,37,24,35
2020-06-10,Northern,68,45,21,31
2020-06-11,Southern,40,36,13,19
2020-06-11,Northern,134,56,42,62
2020-06-12,Southern,45,36,14,21
2020-06-12,Northern,78,60,25,36
2020-06-13,Southern,77,44,24,36
2020-06-13,Northern,180,73,57,83
2020-06-14,Southern,36,47,11,17
2020-06-14,Northern,NA,86,0,0
2020-06-15,Southern,38,50,12,17
2020-06-15,Northern,141,120,45,65
2020-06-16,Southern,60,51,19,28
2020-06-16,Northern,118,113,37,55
2020-06-17,Southern,19,42,6,9
2020-06-17,Northern,13,86,4,6
2020-06-18,Southern,16,37,5,7
2020-06-18,Northern,21,63,7,10
2020-06-19,Southern,11,30,3,5
2020-06-19,Northern,37,56,12,17
2020-06-20,Southern,12,23,4,5
2020-06-20,Northern,25,40,8,11
2020-06-21,Southern,22,21,7,10
2020-06-21,Northern,26,38,8,12
2020-06-22,Southern,24,20,8,11
2020-06-22,Northern,NA,30,0,0
2020-06-23,Southern,16,17,5,8
2020-06-23,Northern,22,23,7,10
2020-06-24,Southern,5,14,2,2
2020-06-24,Northern,10,22,3,4
2020-06-25,Southern,9,12,3,4
2020-06-25,Northern,16,21,5,7
2020-06-26,Southern,9,12,3,4
2020-06-26,Northern,11,17,4,5
2020-06-27,Southern,20,13,6,9
2020-06-27,Northern,15,16,5,7
2020-06-28,Southern,8,11,2,4
2020-06-28,Northern,19,15,6,9
2020-06-29,Southern,20,11,6,9
2020-06-29,Northern,15,15,5,7
2020-06-30,Southern,12,11,4,5
2020-06-30,Northern,22,15,7,10
2020-07-01,Southern,15,12,5,7
2020-07-01,Northern,27,17,8,12
2020-07-02,Southern,52,16,16,24
2020-07-02,Northern,29,19,9,14
2020-07-03,Southern,20,18,6,9
2020-07-03,Northern,43,23,14,20
2020-07-04,Southern,35,19,11,16
2020-07-04,Northern,15,23,5,7
2020-07-05,Southern,11,20,4,5
2020-07-05,Northern,13,21,4,6
2020-07-06,Southern,17,20,5,8
2020-07-06,Northern,34,24,11,16
2020-07-07,Southern,24,22,8,11
2020-07-07,Northern,37,26,12,17
2020-07-08,Southern,14,22,4,6
2020-07-08,Northern,30,26,9,14
2020-07-09,Southern,27,20,9,13
2020-07-09,Northern,21,25,7,10
2020-07-10,Southern,9,18,3,4
2020-07-10,Northern,36,24,11,16
2020-07-11,Southern,24,17,8,11
2020-07-11,Northern,21,26,7,10
2020-07-12,Southern,27,19,9,13
2020-07-12,Northern,46,31,15,21
2020-07-13,Southern,25,20,8,12
